,name,date,code,market_name,market_key,v_kobo,kessan,p_kari,p_uri,bb,koutou,content
557,ニューテック,2002/07/24,6734,ＪＱ,日興ソロモン・スミス・バーニー証券,680000,2,"1,700円 - 2,000円",2000,2002/07/09 - 2002/07/15,-2.00,サーバー等に接続するストレージ（外部記憶装置）本体及び周辺機器の開発、製造及び販売等
558,イオンモール,2002/07/24,8905,東証１部,メリルリンチ証券,4349000,2,"2,200円 - 2,500円",2500,2002/07/09 - 2002/07/12,+4.00,ショッピングセンターの開発・管理及び保険代理業
559,サンヨーハウジング名古屋,2002/07/23,8904,東証２部,野村證券,2610,8,"500,000円 - 650,000円",500000,2002/07/04 - 2002/07/10,-4.00,土地付注文住宅の建設及び販売等
560,エプコ,2002/07/12,2311,ＪＱ,明光ナショナル証券,1000,1,"280,000円 - 340,000円",340000,2002/06/24 - 2002/06/28,+23.52,"水道給排水設備の調査・設計・積算および官公庁への申請・監理とそれに伴う設備部材・流通の企画・開発・コンサルティング事業等
"
561,バルス,2002/07/11,2738,ＪＱ,東京三菱証券,2520,1,"800,000円 - 900,000円",900000,2002/06/27 - 2002/07/02,+43.33,インテリア及び雑貨等の販売
562,トーメンデバイス,2002/06/26,2737,ＪＱ,日興ソロモン・スミス・バーニー証券,600000,3,650円 - 750円,750,2002/06/11 - 2002/06/17,+60.00,韓国サムスン電子社の半導体及び電子部品の販売並びに半導体の開発、設計
563,イーシー・ワン,2002/06/25,2310,ＪＱ,日興ソロモン・スミス・バーニー証券,4750,3,"235,000円 - 268,000円",268000,2002/06/10 - 2002/06/14,+136.94,"Java(オブジェクト指向型のプログラム言語のこと）、EJBに特化したシステム・インテグレーション事業並びにインキュベーション事業。

「EJB」は、Enterprise JavaBeans の略。Javaで開発したソフトをアプリケーションの部品として扱うための規約で、開発したソフトウェアが提供するサービスを別のソフトから利用するために必要となる手続きなどの仕様を定めた規則のこと。"
564,サンウッド,2002/06/24,8903,ＪＱ,東京三菱証券,1500,3,"400,000円 - 500,000円",500000,2002/06/07 - 2002/06/12,+16.00,東京都心部を中心とした分譲マンション開発・販売
565,ビック東海,2002/06/20,2306,ＪＱ,日興ソロモン・スミス・バーニー証券,1000000,3,"1,750円 - 2,000円",2000,2002/06/05 - 2002/06/11,+15.00,情報サービス（ソフトウェア開発、情報処理、システム機器販売）並びに通信サービス（通信、放送）等
566,クロスキャット,2002/06/18,2307,ＪＱ,日興ソロモン・スミス・バーニー証券,900000,3,380円 - 420円,420,2002/06/03 - 2002/06/07,+11.90,ソフトウェア開発、ネットワークサービス、ITコンサルティング、情報処理サービス等の提供
567,シミック,2002/06/17,2309,ＪＱ,メリルリンチ証券,100000,9,"17,000円 - 20,000円",20000,2002/06/04 - 2002/06/07,+50.00,"CRO事業（製薬会社が行う臨床試験に関る業務の一部、又はほとんど全てを受託・代行する業務。CROとは”Contract Research Organization""の略で「医薬品開発受託機関」と訳される）
"
568,スタジオアリス,2002/06/14,2305,ＪＱ,日興ソロモン・スミス・バーニー証券,1367500,12,"1,750円 - 2,000円",2000,2002/05/30 - 2002/06/05,+50.00,子供写真館事業のチェーン店舗展開
569,セントラルサービスシステム,2002/06/13,2304,ＪＱ,野村證券,2000,9,"160,000円 - 175,000円",175000,2002/05/27 - 2002/05/31,+106.28,スチュワード業務請負（ホテルの厨房を含むバックヤードのすべての管理業務）
570,ドーン,2002/06/12,2303,ナスダックジャパン,大和証券SMBC,1500,5,"230,000円 - 270,000円",270000,2002/05/24 - 2002/05/30,+148.14,地理情報システム構築用ソフトウェアの開発及びライセンス販売等
571,ティー・シー・シー,2002/06/11,2302,ＪＱ,野村證券,750000,6,640円 - 800円,800,2002/05/23 - 2002/05/29,+2.50,ソフトウェア開発
572,高千穂電気,2002/06/10,2715,ＪＱ,野村證券,1600000,3,"1,500円 - 1,700円",1700,2002/05/22 - 2002/05/28,+3.52,電気材料、電子部品、オプティカル部品・材料及びその他の商品の販売並びに輸出入
573, 日立モバイル,2002/06/07,9429,東証２部,野村證券,6800000,3,450円 - 500円,455,2002/05/21 - 2002/05/27,-4.17,移動体通信機器、自動車関連機器の販売及び保守サービス
574,サダマツ,2002/06/06,2736,ＪＱ,ＵＦＪキャピタルマーケッツ,600000,8,280円 - 320円,320,2002/05/21 - 2002/05/24,+9.37,宝飾品、眼鏡、時計等の小売業
575,学情,2002/05/31,2301,ＪＱ,大和証券SMBC,1000000,10,600円 - 700円,700,2002/05/14 - 2002/05/20,+14.28,大学及び短大新卒者並びに転職希望者に対する企業ＰＲ・情報提供サービス及び各種コンサルティング業務、広告の企画・制作及び取次業務
576,ワッツ,2002/05/24,2735,ＪＱ,ＵＦＪキャピタルマーケッツ,700,12,"270,000円 - 300,000円",300000,2002/05/09 - 2002/05/14,+50.00,１００円ショップ事業及びディスカウントショップ事業
577, ドリームインキュベータ,2002/05/10,4310,マザーズ,UFJつばさ証券,9000,3,"180,000円 - 230,000円",230000,2002/04/18 - 2002/04/23,+21.73,ベンチャー企業の支援並びに投資、大企業への経営コンサルティング
578,ラ・パルレ,2002/05/01,4357,ナスダックジャパン,クレディスイスファーストボストン,4300,3,"240,000円 - 260,000円",260000,2002/04/15 - 2002/04/18,+3.84,美顔・痩身等のエステティック技術の提供、化粧品・ホームケア機器等の商品販売等
579,きょくとう,2002/04/25,2300,ＪＱ,日興ソロモン・スミス・バーニー証券,1075000,2,200円 - 250円,250,2002/04/10 - 2002/04/16,+12.00,一般家庭の衣類を中心としたクリーニング業
580,ティー・ワイ・オー,2002/04/24,4358,ＪＱ,新光証券,5200000,9,340円 - 360円,360,2002/04/09 - 2002/04/12,+19.44,テレビコマーシャル企画・製作、インターネット広告企画・制作、デジタル映像コンテンツ企画・制作、ゲームソフト受託開発及びコンテンツ・ソリューション事業
581,ラック,2002/04/24,4359,ＪＱ,いちよし証券,8000,12,"200,000円 - 300,000円",300000,2002/04/05 - 2002/04/11,+173.33,ネットワーク　セキュリティ　ソリューションを基盤とした不正アクセス対策事業及びシステムインテグレーション事業
582,テイン,2002/04/23,7217,ＪＱ,新光証券,500000,3,600円 - 700円,700,2002/04/08 - 2002/04/11,+28.57,自動車用サスペンション製造業
583,アドバンスクリエイト,2002/04/23,8798,ナスダックジャパン,大和証券SMBC,6000,9,"30,000円 - 40,000円",40000,2002/04/04 - 2002/04/10,+140.00,疾病保険、傷害保険等の保険商品を中心に取り扱う通信販売専業生損保代理店
584,クインランド,2002/04/18,2732,ナスダックジャパン,大和証券SMBC,4500,6,"90,000円 - 100,000円",100000,2002/04/01 - 2002/04/05,+115.00,企業のマーケティング戦略の企画、システムの構築及び運営支援並びに中古車の買取り及び販売等
585,アグレックス,2002/04/17,4799,ＪＱ,大和証券SMBC,1000000,3,"1,450円 - 1,750円",1750,2002/03/29 - 2002/04/04,+42.85,ビジネスプロセスアウトソーシング、ソフトウェアソリューション及びシステムインテグレーション業務。
586,ピエトロ,2002/04/16,2818,東証２部,野村證券,1200000,3,750円 - 850円,850,2002/03/28 - 2002/04/03,+89.41,ドレッシング等の製造販売・パスタレストランの直営店並びにＦＣ店の展開
587,応用技術,2002/04/16,4356,ＪＱ,ＵＦＪキャピタルマーケッツ,2000,10,"340,000円 - 380,000円",380000,2002/04/01 - 2002/04/04,+165.78,ＧＩＳ（地理情報システム）、製造業向けシステムインテグレーション及び、環境分野のエンジニアリングサービス
588,大成ラミック,2002/04/12,4994,東証２部,野村證券,1700000,3,"1,850円 - 2,000円",2000,2002/03/26 - 2002/04/01,+60.00,包装フィルムおよび自動充填機械の開発・製造・販売
589,ニイウス,2002/04/10,2731,東証２部,野村證券,35400,6,"86,000円 - 100,000円",100000,2002/03/22 - 2002/03/28,+200.00,主に金融機関に向けたUNIX技術を基盤としたクライアント・サーバー型オープンシステムの提案・構築等
590,日本ロングライフ,2002/04/10,4355,ナスダックジャパン,大和証券SMBC,2300,10,"130,000円 - 150,000円",150000,2002/03/20 - 2002/03/28,+169.33,施設介護及び在宅介護を中心とした介護サービス事業等
591,大同生命保険,2002/04/01,8799,東証１部,野村證券,527790,3,"250,000円 - 270,000円",270000,2002/03/05 - 2002/03/14,+18.51,生命保険業等
592,山田債権回収管理総合事務所,2002/03/20,4351,ＪＱ,日興ソロモン・スミス・バーニー証券,1535000,12,"2,750円 - 3,150円",3150,2002/03/05 - 2002/03/11,+1.58,不動産に関する登記サービス業務、測量サービス業務、コンサルティング業務、並びに不良債権処理等におけるデューデリジェンス業務等。
593,サン電子,2002/03/20,6736,ＪＱ,大和証券SMBC,1000000,3,"950円 - 1,100円",1100,2002/03/01 - 2002/03/07,0,パチンコ制御基板及びパチンコホール内情報化システムの製造販売等のパチンコ関連事業、家庭用ゲームソフト開発販売のゲームソフト関連事業及びモバイルデータ機器等の製造販売等の通信機器関連事業。
594, アイ・エックス・アイ,2002/03/19,4313,ナスダックジャパン,新光証券,1200,3,"800,000円 - 1,000,000円",1000000,2002/03/01 - 2002/03/07,+35.00,ＩＴ技術を利用・導入したビジネスモデル及びシステム構築に関するコンサルタント業務等
595,インフォコム,2002/03/19,4348,ＪＱ,野村證券,13000,3,"350,000円 - 400,000円",350000,2002/02/28 - 2002/03/06,+5.71,システムインテグレーション、通信サービス、コンテンツサービス等
596,テスク,2002/03/18,4349,名証２部,東海東京証券,720000,3,280円 - 310円,310,2002/03/01 - 2002/03/06,+16.77,流通業向けソフトウェア開発及びコンピュータ機器の販売
597,メディカルシステムネットワーク,2002/03/18,4350,ナスダックジャパン,ＵＦＪキャピタルマーケッツ,1000,9,"300,000円 - 340,000円",340000,2002/03/01 - 2002/03/06,+47.05,調剤薬局等と医薬品卸売会社の企業間電子取引を対象とした通信ネットワークシステムの構築、管理、運営等。
598,ミサワホーム中国,2002/03/15,1728,ＪＱ,日興ソロモン・スミス・バーニー証券,900000,3,250円 - 290円,290,2002/02/28 - 2002/03/05,+20.68,住宅及びその他建築工事の請負、分譲住宅の販売及びその他の住宅関連事業
