_id,code,date,name,market_key,market_name,sector_key,sector_name,url,p_kari,v_kobo,p_uri,v_uri,unit
6080,6080,2013/11/20,Ｍ＆Ａキャピタルパートナーズ（株）,mothers,マザーズ,svc,サービス,,"2,800～3,000",150,"3,000",(OA22.5),100
3678,3678,2013/11/20,（株）メディアドゥ,mothers,マザーズ,ifc,情報・通信,,"3,000～3,300",270,"3,300",70(OA51),100
3189,3189,2013/11/19,（株）ＡＮＡＰ,jasdaqst,JQスタンダード,ret,小売,,"960～1,000",320,"1,000",150(OA70.5),100
3291,3291,2013/11/01,飯田グループホールディングス（株）,tse1,東証一部,ree,不動産,,,,,,100
3677,3677,2013/10/22,（株）システム情報,jasdaqst,JQスタンダード,ifc,情報・通信,,700～740,400,740,200(OA90),100
6079,6079,2013/10/08,（株）エナリス,mothers,マザーズ,svc,サービス,,240～280,"4,170",280,"3,600(OA1,160)",100
6078,6078,2013/10/04,（株）バリューＨＲ,jasdaqst,JQスタンダード,svc,サービス,,"1,800～2,000",245,"2,000",115(OA54),100
8370,8370,2013/10/01,（株）紀陽銀行,tse1,東証一部,bnk,銀行,,,,,,100
7315,7315,2013/10/01,ＩＪＴテクノロジーホールディングス（株）,tse2,東証二部,tre,輸送用機器,,,,,,100
4275,4275,2013/10/01,カーリットホールディングス（株）,tse1,東証一部,che,化学,,,,,,100
3676,3676,2013/10/01,（株）ハーツユナイテッドグループ,tse1,東証一部,ifc,情報・通信,,,,,,100
3289,3289,2013/10/01,東急不動産ホールディングス（株）,tse1,東証一部,ree,不動産,,,,,,100
5698,5698,2013/09/25,（株）エンビプロ・ホールディングス,tse2,東証二部,ias,鉄鋼,,630～700,"1,620",700,(OA243),100
3288,3288,2013/09/20,（株）オープンハウス,tse1,東証一部,ree,不動産,,"1,580～1,780","5,400","1,780","2,575(OA400)",100
3359,3359,2013/09/17,（株）タイセイ,mothers,マザーズ,wht,卸売,,,600,"1,231",140(OA111),100
3187,3187,2013/09/13,（株）サンワカンパニー,mothers,マザーズ,ret,小売,,870～950,380,950,(OA57),100
6077,6077,2013/08/29,（株）Ｎ・フィールド,mothers,マザーズ,svc,サービス,,"1,300～1,500",355,"1,500",55(OA61.5),100
3186,3186,2013/07/30,（株）ネクステージ,mothers,マザーズ,ret,小売,,"1,500～1,700",637,"1,700",80(OA107.5),100
6075,6075,2013/07/10,（株）フォトクリエイト,mothers,マザーズ,svc,サービス,,"1,470～1,670",100,"1,670",100(OA30),100
3185,3185,2013/07/10,夢展望（株）,mothers,マザーズ,ret,小売,,"2,400～2,600",300,"2,600",100.3(OA60),100
3811,3811,2013/07/09,（株）ビットアイル,tse1,東証一部,ifc,情報・通信,,,"2,217.2",934,"2,880(OA764.5)",100
2587,2587,2013/07/03,サントリー食品インターナショナル（株）,tse1,東証一部,fds,食料品,,"3,000～3,800","93,000","3,100","26,000(OA6,200)",100
3286,3286,2013/07/01,トラストホールディングス（株）,mothers,マザーズ,ree,不動産,,,,,,100
6292,6292,2013/06/24,（株）カワタ,tse2,東証二部,mac,機械,,,,,,"1,000"
2485,2485,2013/06/21,（株）ティア,tse2,東証二部,svc,サービス,,,,,,100
6134,6134,2013/06/20,富士機械製造（株）,tse1,東証一部,mac,機械,,,,,,100
4587,4587,2013/06/11,ペプチドリーム（株）,mothers,マザーズ,pha,医薬品,,"1,920～2,500","1,660","2,500","1,040(OA405)",100
3675,3675,2013/06/03,（株）クロス・マーケティンググループ,mothers,マザーズ,ifc,情報・通信,,,,,,100
3046,3046,2013/05/30,（株）ジェイアイエヌ,tse1,東証一部,ret,小売,,,,"5,432",600(OA90),100
3674,3674,2013/04/25,（株）オークファン,mothers,マザーズ,ifc,情報・通信,,"2,280～2,600",242,"2,600",78(OA48),100
6065,6065,2013/04/24,サクセスホールディングス（株）,tse2,東証二部,svc,サービス,,,,,,100
1420,1420,2013/04/09,サンヨーホームズ（株）,tse2,東証二部,con,建設,,600～700,"1,800",700,(OA270),100
4828,4828,2013/04/04,東洋ビジネスエンジニアリング（株）,tse2,東証二部,ifc,情報・通信,,,,,,100
2222,2222,2013/04/03,寿スピリッツ（株）,tse2,東証二部,fds,食料品,,,,,,100
3863,3863,2013/04/01,日本製紙（株）,tse1,東証一部,pap,パルプ・紙,,,,,,100
3284,3284,2013/04/01,（株）フージャースホールディングス,tse1,東証一部,ree,不動産,,,,,,100
1419,1419,2013/03/27,タマホーム（株）,tse1,東証一部,con,建設,,870～980,"6,500",980,"1,539(OA1,205.8)",100
3673,3673,2013/03/22,（株）ブロードリーフ,tse1,東証一部,ifc,情報・通信,,"1,040～1,080","2,300","1,080","16,480(OA2,813)",100
3082,3082,2013/03/22,（株）きちり,tse2,東証二部,ret,小売,,,,,,100
3794,3794,2013/03/21,エヌ・デーソフトウェア（株）,tse2,東証二部,ifc,情報・通信,,,,,,100
7215,7215,2013/03/19,（株）ファルテック,tse2,東証二部,tre,輸送用機器,,"3,750～3,940",347.5,"3,940",560(OA100),100
6073,6073,2013/03/19,（株）アサンテ,tse2,東証二部,svc,サービス,,900～930,"1,000",930,"1,600(OA390)",100
9428,9428,2013/03/15,（株）クロップス,tse2,東証二部,ifc,情報・通信,,,,,,100
9025,9025,2013/03/15,鴻池運輸（株）,tse1,東証一部,ldt,陸運,,"980～1,020","2,550","1,020","3,425.7(OA896.3)",100
8920,8920,2013/03/15,（株）東祥,tse2,東証二部,svc,サービス,,,600,"1,194",2000(OA200),100
2588,2588,2013/03/15,（株）ウォーターダイレクト,mothers,マザーズ,fds,食料品,,"1,000～1,200",250,"1,200",(OA37.5),100
3672,3672,2013/03/14,（株）オルトプラス,mothers,マザーズ,ifc,情報・通信,,"1,400～1,500",900,"1,500",456.5(OA203),100
3182,3182,2013/03/13,オイシックス（株）,mothers,マザーズ,ret,小売,,"1,000～1,200",500,"1,200",200(OA105),100
3671,3671,2013/03/12,ソフトマックス（株）,mothers,マザーズ,ifc,情報・通信,,"1,100～1,300",300,"1,300",200(OA75),100
6750,6750,2013/03/08,エレコム（株）,tse1,東証一部,ela,電気機器,,,"1,500","1,407",1200(OA400),100
8728,8728,2013/03/01,（株）マネースクウェア・ジャパン,tse2,東証二部,scf,証券,,,,,,1
3180,3180,2013/02/14,（株）ビューティガレージ,mothers,マザーズ,wht,卸売,,"2,100～2,300",95,"2,300",124(OA20),100
4586,4586,2013/02/13,（株）メドレックス,mothers,マザーズ,pha,医薬品,,"800～1,000","2,202.2","1,000",128.2(OA349.5),100
8697,8697,2013/01/04,（株）日本取引所グループ,tse1,東証一部,ofb,その他金融,,,,,,100
3361,3361,2012/12/26,（株）トーエル,tse2,東証二部,ret,小売,,,"1,000",452,"1,000(OA300)",100
6072,6072,2012/12/21,地盤ネット（株）,mothers,マザーズ,svc,サービス,,700～720,384,720,400(OA117),100
6165,6165,2012/12/20,パンチ工業（株）,tse2,東証二部,mac,機械,,510～560,"1,300",560,600(OA285),100
3179,3179,2012/12/20,シュッピン（株）,mothers,マザーズ,ret,小売,,310～330,750,330,200(OA142.5),100
2931,2931,2012/12/20,（株）ユーグレナ,mothers,マザーズ,fds,食料品,,"1,580～1,700",500,"1,700",50.5(OA80),100
7164,7164,2012/12/19,全国保証（株）,tse1,東証一部,ofb,その他金融,,930～980,"7,350",980,"2,137.8(OA1,423.1)",100
3669,3669,2012/12/19,モバイルクリエイト（株）,mothers,マザーズ,ifc,情報・通信,,"2,700～3,000",106.8,"3,000",120.2(OA34),100
3178,3178,2012/12/14,チムニー（株）,tse2,東証二部,ret,小売,,"1,000～1,050","1,000","1,000","7,900(OA1,322)",100
2384,2384,2012/12/14,ＳＢＳホールディングス（株）,tse2,東証二部,ldt,陸運,,,,,,100
4929,4929,2012/12/13,（株）アジュバンコスメジャパン,tse2,東証二部,che,化学,,"1,250～1,350",750,"1,250",250(OA150),100
3668,3668,2012/12/13,（株）コロプラ,mothers,マザーズ,ifc,情報・通信,,"2,700～3,000",780,"3,000",540(OA132),100
4585,4585,2012/12/11,（株）ＵＭＮファーマ,mothers,マザーズ,pha,医薬品,,"1,300～1,600","2,150","1,300",700(OA427.5),100
4290,4290,2012/12/11,（株）プレステージ・インターナショナル,tse2,東証二部,svc,サービス,,,,784,"1,388(OA208)",100
3667,3667,2012/12/11,（株）enish,mothers,マザーズ,ifc,情報・通信,,760～800,50,800,"1,040(OA159)",100
6879,6879,2012/12/07,（株）イマジカ・ロボット　ホールディングス,tse2,東証二部,ifc,情報・通信,,,"2,850",355,(OA420),100
3276,3276,2012/12/07,日本管理センター（株）,tse2,東証二部,ree,不動産,,,,,,100
5932,5932,2012/12/01,三協立山（株）,tse1,東証一部,mep,金属製品,,,,,,100
4584,4584,2012/11/30,（株）ジーンテクノサイエンス,mothers,マザーズ,pha,医薬品,,"1,200～1,500",580,"1,200",289.9(OA130),100
2882,2882,2012/11/27,イートアンド（株）,tse2,東証二部,fds,食料品,,,,,,100
3280,3280,2012/11/21,（株）エストラスト,mothers,マザーズ,ree,不動産,,"1,250～1,350",250,"1,350",83.8(OA50),100
3844,3844,2012/11/16,コムチュア（株）,tse2,東証二部,ifc,情報・通信,,,,,,100
6070,6070,2012/11/15,キャリアリンク（株）,mothers,マザーズ,svc,サービス,,400～440,600,420,780(OA207),100
3896,3896,2012/10/23,阿波製紙（株）,tse2,東証二部,pap,パルプ・紙,,330～370,"1,900",370,600(OA375),100
3176,3176,2012/10/23,三洋貿易（株）,tse2,東証二部,wht,卸売,,420～460,"2,600",460,260(OA429),100
6069,6069,2012/10/19,トレンダーズ（株）,mothers,マザーズ,svc,サービス,,"2,300～2,550",270,"2,550",(OA40.5),100
8524,8524,2012/10/01,（株）北洋銀行,tse1,東証一部,bnk,銀行,,,,,,100
7161,7161,2012/10/01,（株）じもとホールディングス,tse1,東証一部,bnk,銀行,,,,,,100
6617,6617,2012/10/01,（株）東光高岳ホールディングス,tse1,東証一部,ela,電気機器,,,,,,100
5703,5703,2012/10/01,日本軽金属ホールディングス（株）,tse1,東証一部,nfm,非鉄金属,,,,,,100
5413,5413,2012/10/01,日新製鋼ホールディングス（株）,tse1,東証一部,ias,鉄鋼,,,,,,100
6067,6067,2012/09/28,（株）メディアフラッグ,mothers,マザーズ,svc,サービス,,800～900,50,900,130(OA27),100
6284,6284,2012/09/26,日精エー・エス・ビー機械（株）,tse2,東証二部,mac,機械,,,,,,100
3175,3175,2012/09/25,（株）エー・ピーカンパニー,mothers,マザーズ,ret,小売,,"2,150～2,350",350,"2,350",195(OA81.7),100
9201,9201,2012/09/19,日本航空（株）,tse1,東証一部,ait,空運,,"3,500～3,790",,"3,790","175,000",100
2169,2169,2012/09/12,ＣＤＳ（株）,tse2,東証二部,svc,サービス,,,,,,1
3235,3235,2012/09/07,トラストパーク（株）,mothers,マザーズ,ree,不動産,,,4,"32,832",3(OA1.05),1
3271,3271,2012/09/06,（株） THEグローバル社,tse2,東証二部,ree,不動産,,,320,408,900(OA180),100
7646,7646,2012/08/20,（株）ＰＬＡＮＴ,tse2,東証二部,ret,小売,,,"1,000",583,360(OA200),100
3665,3665,2012/07/24,（株）エニグモ,mothers,マザーズ,ifc,情報・通信,,"1,550～1,750",120,"1,750",52.5(OA25.8),100
3654,3654,2012/07/24,（株）ヒト・コミュニケーションズ,tse2,東証二部,ifc,情報・通信,,,,,,100
9419,9419,2012/07/19,（株）ワイヤレスゲート,mothers,マザーズ,ifc,情報・通信,,"1,150～1,200",300,"1,200",153.4(OA68),100
6064,6064,2012/07/13,（株）アクトコール,mothers,マザーズ,svc,サービス,,"1,600～1,700",90,"1,700",160.7(OA32),100
3161,3161,2012/06/28,アゼアス（株）,tse2,東証二部,wht,卸売,,,,,,100
3664,3664,2012/06/26,（株）モブキャスト,mothers,マザーズ,ifc,情報・通信,,640～800,350,800,338.5(OA80),100
6618,6618,2012/06/22,（株）大泉製作所,mothers,マザーズ,ela,電気機器,,290～350,300,350,222,100
2924,2924,2012/05/30,イフジ産業（株）,tse2,東証二部,fds,食料品,,,,,,100
8732,8732,2012/05/28,（株）マネーパートナーズグループ,tse2,東証二部,scf,証券,,,,,,1
6785,6785,2012/05/28,（株）鈴木,tse2,東証二部,ela,電気機器,,,,,,100
2419,2419,2012/05/24,日本ＥＲＩ（株）,tse2,東証二部,svc,サービス,,,,,,100
3662,3662,2012/04/04,（株）エイチーム,mothers,マザーズ,ifc,情報・通信,,"1,000～1,080",300,"1,080",5(OA45.7),100
3663,3663,2012/04/02,アートスパークホールディングス（株）,tse2,東証二部,ifc,情報・通信,,,,,,100
8110,8110,2012/04/01,ＪＦＥ商事（株）,tse1,東証一部,wht,卸売,,,,,,100
8230,8230,2012/03/29,（株）はせがわ,tse2,東証二部,ret,小売,,,,,,100
2612,2612,2012/03/29,かどや製油（株）,tse2,東証二部,fds,食料品,,,,,,100
6058,6058,2012/03/27,（株）ベクトル,mothers,マザーズ,svc,サービス,,"940～1,000",500,"1,000",250(OA30),100
4926,4926,2012/03/22,（株）シーボン,tse2,東証二部,che,化学,,,,,,100
7157,7157,2012/03/15,ライフネット生命保険（株）,mothers,マザーズ,ins,保険,,"1,000～1,200","8,340","1,000","2,433(OA1,600)",100
6920,6920,2012/03/14,レーザーテック（株）,tse2,東証二部,ela,電気機器,,,,,,100
3661,3661,2012/03/14,（株）エムアップ,mothers,マザーズ,ifc,情報・通信,,"1,050～1,130",176.5,"1,130",247.8(OA63.6),100
2427,2427,2012/03/12,（株）アウトソーシング,tse2,東証二部,svc,サービス,,,,,,100
3660,3660,2012/03/08,（株）アイスタイル,mothers,マザーズ,ifc,情報・通信,,760～840,450,840,525.5(OA109),100
4636,4636,2012/03/02,（株）　Ｔ＆Ｋ　ＴＯＫＡ,tse2,東証二部,che,化学,,,,,,100
2326,2326,2012/02/28,デジタルアーツ（株）,tse2,東証二部,ifc,情報・通信,,,,,,1
2499,2499,2012/02/27,日本和装ホールディングス（株）,tse2,東証二部,svc,サービス,,,,,,1
3644,3644,2012/02/06,１ｓｔホールディングス（株）,tse2,東証二部,ifc,情報・通信,,,,,,100
2198,2198,2012/01/20,アイ・ケイ・ケイ（株）,tse2,東証二部,svc,サービス,,,,,,100
